C38155|recurrent-disease
C35838|adrenal-medullary-hyperplasia
C35845|basal-cell-hyperplasia
C95609|esophageal-basal-cell-hyperplasia
C5593|prostatic-basal-cell-hyperplasia
C53296|epidermal-hyperplasia
C97115|pseudoepitheliomatous-hyperplasia
C3989|parathyroid-hyperplasia
C6032|parathyroid-chief-cell-hyperplasia
C6033|parathyroid-clear-cell-hyperplasia
C27152|sebaceous-hyperplasia
C27952|senile-sebaceous-hyperplasia
C35857|stromal-hyperplasia
C104373|pseudoangiomatous-stromal-hyperplasia
C27877|urothelial-hyperplasia
C27878|flat-urothelial-hyperplasia
C27879|papillary-urothelial-hyperplasia
C2897|benign-prostatic-hyperplasia
C5594|prostatic-cribriform-hyperplasia
C63929|utricle-associated-mucosal-gland-hyperplasia
C63796|verumontanum-mucosal-gland-hyperplasia
C46100|c-cell-hyperplasia
C35407|diffuse-c-cell-hyperplasia
C46102|reactive-c-cell-hyperplasia
C46101|neoplastic-c-cell-hyperplasia
C35861|mesothelial-hyperplasia
C45667|atypical-mesothelial-hyperplasia
C102532|lymphoid-hyperplasia
C97078|benign-lymphoid-hyperplasia
C97084|follicular-lymph-node-hyperplasia
C4804|breast-hyperplasia
C54183|columnar-cell-hyperplasia-of-the-breast
C54184|columnar-cell-hyperplasia-of-the-breast-with-atypia
C9492|ductal-breast-hyperplasia
C40387|intraductal-breast-myoepitheliosis
C5200|papillary-ductal-breast-hyperplasia
C27941|usual-ductal-breast-hyperplasia
C8436|atypical-ductal-breast-hyperplasia
C5195|atypical-hyperplasia-of-the-breast
C40386|atypical-breast-myoepitheliosis
C4730|atypical-lobular-breast-hyperplasia
C26458|intraductal-hyperplasia
C8355|atypical-hyperplasia
C5665|atypical-adenomatous-lung-hyperplasia
C8356|atypical-glandular-hyperplasia
C5595|prostatic-atypical-adenomatous-hyperplasia
C4654|atypical-endometrial-hyperplasia
C35560|complex-endometrial-hyperplasia-with-atypia
C6991|simple-endometrial-hyperplasia-with-atypia
C82995|glandular-hyperplasia
C97079|bronchial-epithelial-hyperplasia
C135565|brunners-gland-hyperplasia
C127931|cervical-microglandular-hyperplasia
C127933|diffuse-laminar-endocervical-hyperplasia
C127932|lobular-endocervical-glandular-hyperplasia
C128241|nodular-bartholin-gland-hyperplasia
C126461|tubal-hyperplasia
C3013|endometrial-hyperplasia
C34519|cystic-endometrial-hyperplasia
C35423|complex-endometrial-hyperplasia
C6993|complex-endometrial-hyperplasia-without-atypia
C40157|endometrial-hyperplasia-without-atypia
C6992|simple-endometrial-hyperplasia-without-atypia
C35463|simple-endometrial-hyperplasia
C2893|psychiatric-disorder
C92191|adjustment-disorder
C92198|factitious-disorder
C46083|cognitive-dysfunction
C27101|cognitive-disturbance
C92197|dissociative-disorder
C94331|depersonalization-disorder
C94328|dissociative-amnesia
C94329|dissociative-fugue
C94330|dissociative-identity-disorder
C89332|eating-disorder
C2875|anorexia
C34387|anorexia-nervosa
C97162|binge-eating
C34440|bulimia-nervosa
C118188|sleep-related-eating-disorder
C34723|impulse-control-disorder
C94332|intermittent-explosive-disorder
C94333|kleptomania
C94335|pathological-gambling
C94334|pyromania
C94336|trichotillomania
C46084|memory-dysfunction
C78444|memory-impairment
C34922|personality-disorder
C88413|antisocial-personality-disorder
C92636|avoidant-personality-disorder
C92633|borderline-personality-disorder
C92637|dependent-personality-disorder
C92634|histrionic-personality-disorder
C92635|narcissistic-personality-disorder
C92638|obsessive-compulsive-personality-disorder
C92630|paranoid-personality-disorder
C34904|passive-aggressive-personality-disorder
C92631|schizoid-personality-disorder
C92632|schizotypal-personality-disorder
C92202|sexual-and-gender-identity-disorders
C94352|exhibitionism
C94339|female-sexual-arousal-disorder
C94353|fetishism
C94354|frotteurism
C94362|gender-identity-disorder
C118189|hypersexualism
C94337|hypoactive-sexual-desire-disorder
C34959|male-orgasmic-disorder
C94355|pedophilia
C94349|premature-ejaculation
C94338|sexual-aversion-disorder
C94356|sexual-masochism
C94358|sexual-sadism
C94350|substance-induced-sexual-dysfunction
C94359|transvestic-fetishism
C94360|voyeurism
C34956|somatoform-disorder
C35190|endocrine-disorder-arising-from-mental-factor
C34633|gastrointestinal-malfunction-arising-from-mental-factor
C35189|genitourinary-malfunction-arising-from-mental-factor
C35186|physiological-malfunction-arising-from-mental-factor
C35390|respiratory-malfunction-arising-from-mental-factor
C35188|skin-disorder-arising-from-mental-factor
C92203|substance-related-disorder
C92623|substance-induced-anxiety-disorder
C92643|substance-induced-persisting-amnestic-disorder
C34957|substance-induced-psychotic-disorder
C95079|substance-induced-sleep-disorder
C92199|mental-disorder-due-to-a-general-medical-condition
C34870|organic-mental-disorder
C35100|nonpsychotic-mental-disorder-following-organic-brain-damage
C35102|transient-organic-mental-disorder
C35274|perception-disturbance
C34912|perceptual-distortion
C34923|stump-hallucination
C3376|sleep-disorder
C84800|kleine-levin-syndrome
C84781|idiopathic-hypersomnolence
C84489|narcolepsy
C117287|night-terrors
C35604|sleep-disorder-due-to-general-medical-condition
C26754|somnolence
C27743|somnolence-syndrome
C95071|circadian-rhythm-sleep-disorder
C95073|delayed-sleep-phase-type-circadian-rhythm-sleep-disorder
C95074|jet-lag-type-circadian-rhythm-sleep-disorder
C95075|shift-work-type-circadian-rhythm-sleep-disorder
C78346|hypersomnia
C116343|idiopathic-hypersomnia
C28286|insomnia
C84711|fatal-familial-insomnia
C116361|behavioral-insomnia-of-childhood
C35526|chronic-insomnia
C35804|conditioned-insomnia
C35609|exacerbated-insomnia
C35581|initial-insomnia
C35647|insomnia-due-to-organic-factor
C35582|middle-insomnia
C35421|nonorganic-insomnia
C34949|primary-insomnia
C94836|parasomnia
C95076|nightmare-disorder
C95077|sleep-terror-disorder
C95078|sleepwalking
C2878|anxiety-disorder
C92621,C92622|generalized-anxiety-disorder
C34867|anxiety-disorder-due-to-a-general-medical-condition
C88411|obsessive-compulsive-disorder
C92620|panic-attack
C34890|panic-disorder
C97194|panic-disorder-with-agoraphobia
C97193|panic-disorder-without-agoraphobia
C34848|neurosis
C3389|post-traumatic-stress-disorder
C35420|phobia
C34362|agoraphobia
C34363|agoraphobia-without-a-history-of-panic-disorder
C34927|social-anxiety-disorder
C35284|specific-phobia
C35614|aids-phobia
C35273|animal-phobia
C35492|cancerphobia
C85490|claustrophobia
C35140|dental-phobia
C35426|examination-phobia
C35413|flying-phobia
C35670|phobia-of-driving
C34926|school-phobia
C92196|cognitive-disorder
C92642|amnestic-disorder-due-to-a-general-medical-condition
C2981|delirium
C92639|delirium-due-to-a-general-medical-condition
C92640|substance-intoxication-delirium
C92641|substance-withdrawal-delirium
C4786|dementia
C84719|frontotemporal-dementia
C84826|lewy-body-dementia
C34523|pre-senile-dementia
C34524|senile-dementia
C2866|alzheimers-disease
C123412|familial-alzheimers-disease-type-3
C123413|familial-alzheimers-disease-type-4
C34525|vascular-dementia
C34522|multi-infarct-dementia
C92200|mood-disorder
C34562|dysthymic-disorder
C61374|mania
C34423|bipolar-disorder
C34424|bipolar-depression
C34805|manic-bipolar-affective-disorder
C62592|mood-alteration
C92937|pregnancy-related-mood-swing
C2982|depression
C97163|childhood-depression
C34532|endogenous-depression
C34812|melancholic-depression
C35369|neurotic-depression
C92852|postpartum-depression
C35094|unipolar-depression
C34533|reactive-depression
C34358|adjustment-reaction-with-brief-depressive-reaction
C35191|adjustment-reaction-with-prolonged-depressive-reaction
C48801|vital-exhaustion
C92190|pediatric-psychiatric-disorder
C35092|attention-deficit-disorder
C97160|attention-deficit-hyperactivity-disorder
C89329|conduct-disorder
C92568|encopresis
C92565|oppositional-defiant-disorder
C92566|pica-eating-disorder
C92567|rumination-disorder
C92569|selective-mutism
C35014|separation-anxiety-disorder
C34588|enuresis
C118172|nocturnal-enuresis
C34628|nonorganic-enuresis
C89334|learning-disorder
C97165|dyscalculia
C96410|dyslexia
C97155|language-disorder
C92562|expressive-language-disorder
C92563|mixed-receptive-expressive-language-disorder
C35043|stutter
C92564|phonological-disorder
C122579|phonophobia
C97179|pervasive-developmental-disorder
C97164|childhood-disintegrative-disorder
C88412|autism-spectrum-disorder
C97159|asperger-syndrome
C97161|autism
C92201|schizophrenia-and-other-psychotic-disorders
C94390|brief-psychotic-disorder
C94392|psychotic-disorder-due-to-a-general-medical-condition
C94378|schizoaffective-disorder
C94376|schizophreniform-disorder
C94391|shared-psychotic-disorder
C94379|delusional-disorder
C94382|erotomanic-type-delusional-disorder
C94383|grandiose-type-delusional-disorder
C94385|jealous-type-delusional-disorder
C94388|mixed-type-delusional-disorder
C94386|persecutory-type-delusional-disorder
C94387|somatic-type-delusional-disorder
C94389|unspecified-type-delusional-disorder
C78576|psychosis
C34361|affective-psychosis
C35166|manic-psychosis
C3362|schizophrenia
C35003|catatonic-type-schizophrenia
C35004|childhood-schizophrenia
C35005|disorganized-type-schizophrenia
C35006|paranoid-type-schizophrenia
C35721|paraphrenia
C35269|simple-type-schizophrenia
C94370|undifferentiated-type-schizophrenia
C35270|chronic-schizophrenia
C35182|latent-chronic-schizophrenia
C35184|residual-chronic-schizophrenia
C34759|latent-schizophrenia
C35181|latent-subchronic-schizophrenia
C35007|residual-type-schizophrenia
C35183|residual-subchronic-schizophrenia
C35185|subchronic-schizophrenia
C3075|hamartoma
C3924|becker-nevus
C121687|benign-triton-tumor
C121968|cutaneous-neurocristic-hamartoma
C97111|ecchordosis-physaliphora
C45746|hamartoma-of-mature-cardiac-myocytes
C121682|meningothelial-hamartoma
C4678|organoid-nevus
C40401|breast-hamartoma
C40403|breast-adenohibernoma
C40402|breast-adenolipoma
C40404|breast-myoid-hamartoma
C40425|congenital-hamartoma
C4675|congenital-epulis
C8371|connective-tissue-nevus
C4706|circumscribed-storiform-collagenoma
C4707|eruptive-collagenoma
C40427|mesenchymal-hamartoma
C40424|cartilaginous-hamartoma
C53973|chest-wall-chondromesenchymal-hamartoma
C3942|fibrous-hamartoma-of-infancy
C40426|lipomatous-hamartoma
C5751|liver-mesenchymal-hamartoma
C122985|nasal-chondromesenchymal-hamartoma
C3438|vascular-hamartoma
C3287|odontoma
C4309|complex-odontoma
C3711|compound-odontoma
C5509|central-nervous-system-hamartoma
C6815|spinal-cord-hamartoma
C40423|brain-hamartoma
C4385|hypothalamic-hamartoma
C42589|chondroid-hamartoma
C3497|pulmonary-hamartoma
C5662|endobronchial-hamartoma
C5663|multiple-pulmonary-hamartomas
C5562|skin-appendage-hamartoma
C5563|apocrine-sweat-gland-hamartoma
C4112|trichofolliculoma
C5564|eccrine-sweat-gland-hamartoma
C4703|eccrine-angiomatous-hamartoma
C4740|porokeratotic-eccrine-ostial-and-dermal-duct-nevus
C5565|pilosebaceous-hamartoma
C4749|basal-cell-nevus-with-comedones
C4704|moniliform-hamartoma
C3946|nevus-comedonicus
C3074|hairy-nevus
C8372|hamartomatous-polyp
C96475|gastrointestinal-hamartoma
C4373|gastric-hamartomatous-polyp
C7035|gastric-cronkhite-canada-polyposis
C7034|gastric-juvenile-polyp
C36205|peutz-jeghers-polyp-of-the-stomach
C4733|peutz-jeghers-polyp
C7755|peutz-jeghers-polyp-of-the-small-intestine
C5519|colorectal-peutz-jeghers-polyp
C36206|small-intestinal-hamartoma
C96052|juvenile-polyp-of-the-small-intestine
C3826|juvenile-polyp
C5681|colorectal-juvenile-polyp
C5518|colon-juvenile-polyp
C5618|rectal-juvenile-polyp
C96474|colorectal-hamartoma
C96476|colorectal-cowden-associated-polyp
C3101|genetic-disorder
C98829|autosomal-dominant-disorder
C85866|autosomal-recessive-disorder
C129734|autosomal-recessive-infantile-hypercalcemia
C34470|chromosome-disorder
C34634|congenital-leucocyte-abnormality
C123260|dent-disease
C3964|dihydrouracil-dehydrogenase-deficiency
C2993|down-syndrome
C123261|familial-hypercalciuric-hypocalcemia
C123262|familial-hypocalciuric-hypercalcemia
C123263|familial-primary-hypomagnesemia
C3040|fibrodysplasia-ossificans-progressiva
C34651|granular-corneal-dystrophy
C35064|hereditary-hemorrhagic-telangiectasia
C34760|laurence-moon-syndrome
C34806|maple-syrup-urine-disease
C120113|short-stature-homeobox-deficiency
C4924|trichothiodystrophy
C85865|x-linked-inherited-disorder
C123265|x-linked-hypophosphatemic-rickets
C9460|cockayne-syndrome
C135725|cockayne-syndrome-type-a
C135726|cockayne-syndrome-type-b
C27872|congenital-t-cell-immunodeficiency
C2989|digeorge-syndrome
C2975|cystic-fibrosis
C121562|cystic-fibrosis-pulmonary-exacerbation
C103233|cystic-fibrosis-with-meconium-ileus
C2976|cystinosis
C129932|nephropathic-cystinosis
C3034|fanconi-syndrome
C78296|acquired-fanconi-syndrome
C4377|adult-fanconi-syndrome
C123158|primary-hyperoxaluria
C123212|primary-hyperoxaluria-type-i
C123213|primary-hyperoxaluria-type-ii
C123214|primary-hyperoxaluria-type-iii
C27871|congenital-combined-immunodeficiency
C2887|ataxia-telangiectasia-syndrome
C27070|reticular-dysgenesis
C3448|wiskott-aldrich-syndrome
C3472|severe-combined-immunodeficiency
C3962|adenosine-deaminase-deficiency
C3895|bare-lymphocyte-syndrome
C61240|omenn-syndrome
C3963|purine-nucleoside-phosphorylase-deficiency
C61238|severe-combined-immunodeficiency-with-absence-of-t-and-b-cells
C61239|severe-combined-immunodeficiency-with-absence-of-t-normal-b-cells
C4682|x-linked-severe-combined-immunodeficiency
C27873|congenital-disorder-of-natural-immunity
C2941|chediak-higashi-syndrome
C26788|chronic-granulomatous-disease
C61243|neutrophil-actin-defect
C27874|leukocyte-adhesion-deficiency
C4689|leukocyte-adhesion-deficiency-type-1
C4690|leukocyte-adhesion-deficiency-type-2
C7757|dna-repair-disorder
C4692|nijmegen-breakage-syndrome
C3447|werner-syndrome
C62505|fanconi-anemia
C125702|fanconi-anemia-complementation-group-a
C125703|fanconi-anemia-complementation-group-b
C125704|fanconi-anemia-complementation-group-c
C125705|fanconi-anemia-complementation-group-d1
C125706|fanconi-anemia-complementation-group-d2
C125709|fanconi-anemia-complementation-group-e
C125707|fanconi-anemia-complementation-group-f
C125708|fanconi-anemia-complementation-group-g
C129026|fanconi-anemia-complementation-group-i
C129027|fanconi-anemia-complementation-group-j
C8494|lynch-syndrome
C6725|lynch-1-syndrome
C6726|lynch-2-syndrome
C3452|xeroderma-pigmentosum
C141367|xeroderma-pigmentosum-variant-type
C3965|xeroderma-pigmentosum-complementation-group-a
C3966|xeroderma-pigmentosum-complementation-group-b
C114770|xeroderma-pigmentosum-complementation-group-c
C3967|xeroderma-pigmentosum-complementation-group-d
C114771|xeroderma-pigmentosum-complementation-group-e
C3968|xeroderma-pigmentosum-complementation-group-f
C3969|xeroderma-pigmentosum-complementation-group-g
C27579|hyperimmunoglobulin-syndrome
C3990|hyperimmunoglobulin-m-syndrome
C3144|hyperimmunoglobulin-e-syndrome
C126343|dock8-deficiency
C126342|stat3-deficiency
C3266|hereditary-neoplastic-syndrome
C6729|attenuated-familial-adenomatous-polyposis
C3939|bannayan-syndrome
C34415|beckwith-wiedemann-syndrome
C28244|birt-hogg-dube-syndrome
C2903|bloom-syndrome
C4705|carney-complex
C94831|carney-stratakis-syndrome
C84630|cherubism
C4485|cobb-syndrome
C3076|cowden-syndrome
C7584|dysplastic-nevus-syndrome
C27264|familial-atypical-mole-melanoma-syndrome
C94830|familial-isolated-hyperparathyroidism
C51302|hereditary-leiomyomatosis-and-renal-cell-cancer
C5183|hereditary-multiple-exostoses
C48300|hereditary-paraganglioma-pheochromocytoma-syndrome
C48287|hyperparathyroidism-jaw-tumor-syndrome
C7754|juvenile-polyposis-syndrome
C3476|li-fraumeni-syndrome
C96520|mutyh-associated-polyposis
C4461|multiple-self-healing-epithelioma-of-ferguson-smith
C3324|peutz-jeghers-syndrome
C93268|rhabdoid-tumor-predisposition-syndrome
C4681|roberts-sc-phocomelia-syndrome
C3335|rothmund-thomson-syndrome
C6557|schwannomatosis
C3718|wilms-tumor-aniridia-genitourinary-anomalies-mental-retardation-syndrome
C3822|x-linked-agammaglobulinemia
C3339|familial-adenomatous-polyposis
C6728|gardner-syndrome
C8493|hereditary-breast-and-ovarian-cancer-syndrome
C36100|brca1-syndrome
C36101|brca2-syndrome
C120083|hereditary-nonpolyposis-colorectal-cancer
C120084|familial-colorectal-cancer-type-x
C94810|inherited-bone-marrow-failure-syndrome
C61236|congenital-pure-red-cell-aplasia
C61235|shwachman-diamond-syndrome
C130202|constitutional-mismatch-repair-deficiency-syndrome
C3938|turcot-syndrome
C40463|turcot-syndrome-type-1
C40464|turcot-syndrome-type-2
C84348|phakomatosis
C2892|nevoid-basal-cell-cancer-syndrome
C3391|sturge-weber-syndrome
C3105|von-hippel-lindau-syndrome
C3424|tuberous-sclerosis
C75122|tuberous-sclerosis-1
C75331|tuberous-sclerosis-2
C6727|neurofibromatosis
C3846|aggravated-neurofibromatosis
C3274|neurofibromatosis-type-2
C3273|neurofibromatosis-type-1
C3340|polyp
C8311|fibrous-polyp
C3256|nasal-cavity-polyp
C6034|nasopharyngeal-polyp
C5988|oropharyngeal-polyp
C3521|placental-polyp
C4530|ureter-polyp
C3440|vocal-cord-polyp
C7486|paranasal-sinus-polyp
C3932|ethmoid-sinus-polyp
C4367|frontal-sinus-polyp
C3931|maxillary-sinus-polyp
C3933|sphenoid-sinus-polyp
C3948|gingival-polyp
C4693|gingival-fibroepithelial-polyp
C3664|vaginal-polyp
C128061|vaginal-tubulosquamous-polyp
C4948|vaginal-fibroepithelial-polyp
C3978|vulvar-polyp
C6857|vulvar-fibroepithelial-stromal-polyp
C3337|fibroepithelial-polyp
C4435|anal-fibroepithelial-polyp
C40200|cervical-fibroepithelial-polyp
C6182|renal-pelvis-fibroepithelial-polyp
C6170|urethra-fibroepithelial-polyp
C3374|skin-tag
C98919|ear-tag
C3662|uterine-polyp
C6433|endometrial-polyp
C2939|cervical-polyp
C34584|endocervical-polyp
C6856|cervical-microglandular-polyp
C7068|neoplastic-polyp
C40115|fallopian-tube-endometrioid-polyp
C8587|precancerous-polyp
C5971|ear-polyp
C4366|external-ear-polyp
C6933|middle-ear-polyp
C4089|polyposis
C4135|multiple-adenomatous-polyps
C3764|adenomatous-polyp
C95773|gastric-adenomatous-polyp
C7036|gastric-tubular-adenoma
C7037|gastric-tubulovillous-adenoma
C7038|gastric-villous-adenoma
C96478|colorectal-adenomatous-polyp
C96479|colon-adenomatous-polyp
C96480|rectal-adenomatous-polyp
C7720|gallbladder-adenoma
C43602|gallbladder-papillary-adenoma
C43601|gallbladder-tubular-adenoma
C43603|gallbladder-tubulopapillary-adenoma
C35516|gastrointestinal-polyp
C3957|anal-polyp
C96554|anal-canal-squamous-papilloma
C96693|anal-inflammatory-cloacogenic-polyp
C4057|esophageal-polyp
C5344|esophageal-squamous-papilloma
C5699|giant-fibrovascular-esophageal-polyp
C3909|gallbladder-polyp
C7417|gallbladder-hyperplastic-polyp
C4083|hyperplastic-polyp
C96416|appendix-hyperplastic-polyp
C7033|gastric-hyperplastic-polyp
C5682|colorectal-hyperplastic-polyp
C96471|colorectal-goblet-cell-rich-hyperplastic-polyp
C96473|colorectal-microvesicular-hyperplastic-polyp
C96472|colorectal-mucin-poor-hyperplastic-polyp
C4930|colon-hyperplastic-polyp
C5619|rectal-hyperplastic-polyp
C5679|colorectal-polyp
C2954|colon-polyp
C5517|colon-inflammatory-polyp
C96470|colon-serrated-polyposis
C96464|colon-sessile-serrated-adenomapolyp
C43577|colon-traditional-serrated-adenoma
C5680|colorectal-inflammatory-polyp
C3351|rectal-polyp
C96465|rectal-sessile-serrated-adenomapolyp
C96463|rectal-traditional-serrated-adenoma
C96469|colorectal-sporadic-serrated-polyp
C83176|colorectal-sessile-serrated-adenomapolyp
C5674|colorectal-traditional-serrated-adenoma
C96468|colorectal-filiform-serrated-adenoma
C3954|gastric-polyp
C95767|gastric-non-neoplastic-polyp
C7699|gastric-adenoma
C8961|fundic-gland-polyp
C95775|gastric-adenoma-gastric-type
C95779|foveolar-type-adenoma
C43526|pyloric-gland-adenoma
C26684|radiation-induced-disorder
C53539|radiation-related-non-neoplastic-disorder
C50723|radiation-sickness-syndrome
C27947|radiation-anemia
C3905|radiation-enteritis
C27064|radiation-induced-cataract
C27082|radiation-induced-cerebritis
C3349|radiation-induced-dermatitis
C27180|radiation-induced-fibrous-mediastinitis
C27060|radiation-induced-myelopathy
C27932|radiation-induced-pneumonitis
C27137|radiation-induced-stomatitis
C35844|radiation-induced-vascular-disease
C27104|radiation-induced-damage-to-artery
C3265|radiation-related-neoplasm
C5291|radiation-induced-intracranial-meningioma
C27209|radiation-related-malignant-neoplasm
C27930|ionizing-radiation-related-malignant-neoplasm
C26814|radiation-related-leukemia
C27776|solar-radiation-related-malignant-neoplasm
C27920|solar-radiation-related-cutaneous-skin-melanoma
C27921|solar-radiation-related-skin-squamous-cell-carcinoma
C93125|radiation-related-sarcoma
C53706|radiation-related-osteosarcoma
C27513|radiation-related-angiosarcoma
C27719|cutaneous-radiation-related-angiosarcoma
C4873|rare-disorder
C114451|rare-malignant-childhood-neoplasm
C118816|childhood-bladder-cancer
C118810|childhood-carcinoid-tumor
C118809|childhood-breast-cancer
C118812|childhood-esophageal-cancer
C118813|childhood-gastric-stomach-cancer
C118811|childhood-laryngeal-throat-cancer
C118821|childhood-malignant-penile-neoplasm
C131506|childhood-melanoma
C118817|childhood-nasal-cavity-carcinoma
C118814|childhood-non-small-cell-lung-carcinoma
C118815|childhood-small-cell-lung-carcinoma
C118818|childhood-paranasal-sinus-carcinoma
C118824|childhood-salivary-gland-carcinoma
C118819|childhood-parathyroid-gland-carcinoma
C118808|childhood-colorectal-cancer
C118823|childhood-rectal-cancer
C118826|childhood-malignant-small-intestinal-neoplasm
C123933|childhood-small-intestinal-cancer
C123932|childhood-small-intestinal-leiomyosarcoma
C118827,C4815|thyroid-gland-cancer
C123904|childhood-thyroid-gland-follicular-carcinoma
C123905|childhood-thyroid-gland-medullary-carcinoma
C123903|childhood-thyroid-gland-papillary-carcinoma
C35561|rare-neoplastic-syndrome
C84652|costello-syndrome
C122658|dna-ligase-i-deficiency
C123317|dicer1-syndrome
C122660|hardcastles-syndrome
C3213|maffucci-syndrome
C84905|muir-torre-syndrome
C48627|mccune-albright-syndrome
C75466|rubinstein-taybi-syndrome
C111802|dyskeratosis-congenita
C126352|x-linked-dyskeratosis-congenita
C84668|denys-drash-syndrome
C121209|denys-drash-syndrome-incomplete
C53543|rare-non-neoplastic-disorder
C75470|17q21-microdeletion-syndrome
C74983|1p36-deletion-syndrome
C75478|22q-telomere-deletion-syndrome
C85237|47xyy-syndrome
C35709|aagenaes-syndrome
C35809|achard-syndrome
C35467|achenbach-syndrome
C84530|acquired-hyperostosis-syndrome
C84531|acrocallosal-syndrome
C84533|acromegaly
C35256|aicardi-syndrome
C118843|allan-herndon-dudley-syndrome
C35710|allgrove-syndrome
C118631|alpha-thalassemia-x-linked-mental-retardation-syndrome
C84549|alstrom-syndrome
C84552|amniotic-band-syndrome
C84559|andersen-syndrome
C99081|arakawa-syndrome-ii
C34412|bartter-syndrome
C123813|beare-stevenson-cutis-gyrata-syndrome
C84595|bernard-soulier-syndrome
C8967|brain-iron-accumulation-type-i-syndrome
C84601|brown-sequard-syndrome
C84606|cadasil-syndrome
C75100|charge-syndrome
C84607|calciphylaxis
C84610|camurati-engelmann-syndrome
C84617|cardiofaciocutaneous-syndrome
C61245|cartilage-hair-hypoplasia
C75477|cat-eye-syndrome
C3817|cerebrooculofacioskeletal-syndrome
C129021|chromosome-2q37-deletion-syndrome
C75020|cleidocranial-dysplasia
C126744|codas-syndrome
C84643|coffin-lowry-syndrome
C84644|cogan-reese-syndrome
C85042|complex-regional-pain-syndrome-i
C121572|complex-regional-pain-syndrome-ii
C133743|cortical-dysplasia-focal-epilepsy-syndrome
C84657|cryopyrin-associated-periodic-syndrome
C98908|cryptophthalmos-syndrome
C75012|dandy-walker-malformation
C84666|de-sanctis-cacchione-syndrome
C84521|deletion-18p-syndrome
C84522|deletion-18q-syndrome
C84670|diffuse-cerebral-sclerosis-of-schilder
C84676|donohue-syndrome
C84678|duane-syndrome
C125591|dubowitz-syndrome
C124844|dyggve-melchior-clausen-syndrome
C84684|ellis-van-creveld-syndrome
C84686|empty-sella-syndrome
C125390|episodic-pain-syndrome-familial-3
C131639|epstein-syndrome
C129025|exfoliation-syndrome
C74998|familial-juvenile-nephronophthisis
C131642|fechtner-syndrome
C74987|feingold-syndrome
C84712|felty-syndrome
C84717|fragile-x-syndrome
C118436|fraser-syndrome
C98932|fryns-syndrome
C132195|galloway-mowat-syndrome
C84730|gitelman-syndrome
